,Locality,Buy Rate per Sqft,1 BHK,2 BHK,3 BHK
158,Sangeeta Wadi,"Rs. 5,908 - 6,970/sq. ft.",-,-,-
159,Shahad,"Rs. 4,420 - 6,715/sq. ft.",-,-,-
160,Shahapur,"Rs. 2,678 - 3,272/sq. ft.",-,-,-
161,Shaninagar,"Rs. 3,018 - 3,358/sq. ft.",-,-,-
162,Shastri Nagar,"Rs. 5,950 - 6,545/sq. ft.","Rs. 6,707 - 8,255",-,-
163,Shirgaon,"Rs. 3,060 - 3,570/sq. ft.","Rs. 3,009 - 3,510","Rs. 5,040 - 5,760",-
164,Sonar Pada,"Rs. 3,910 - 4,802/sq. ft.",-,-,-
165,Sonivali,"Rs. 3,442 - 3,825/sq. ft.","Rs. 3,302 - 3,774",-,-
166,Sunil Nagar,"Rs. 6,248 - 6,588/sq. ft.","Rs. 7,650 - 8,160",-,-
167,Thakurli,"Rs. 5,908 - 6,290/sq. ft.","Rs. 7,521 - 8,595","Rs. 10,912 - 12,471",-
168,Thakurwadi,"Rs. 5,398 - 6,248/sq. ft.",-,-,-
169,Themghar,"Rs. 3,910 - 5,312/sq. ft.",-,-,-
170,Tilak Nagar,-,"Rs. 7,326 - 7,757",-,-
171,Tisgao Naka,"Rs. 4,335 - 5,568/sq. ft.",-,-,-
172,Titwala,"Rs. 3,485 - 4,208/sq. ft.","Rs. 4,475 - 4,972","Rs. 6,474 - 8,092",-
173,Ulhasnagar,"Rs. 3,230 - 4,462/sq. ft.",-,-,-
174,Usarghar Gaon,-,-,"Rs. 6,647 - 10,635",-
175,Valivali Gaon,"Rs. 2,932 - 3,315/sq. ft.",-,-,-
176,Vangani,"Rs. 2,508 - 3,102/sq. ft.","Rs. 2,514 - 3,352",-,-
177,Vasind,"Rs. 2,508 - 2,848/sq. ft.","Rs. 2,535 - 3,380",-,-
178,Vishnunagar,"Rs. 6,205 - 7,438/sq. ft.","Rs. 7,650 - 9,180",-,-
179,Wayale Nagar,"Rs. 6,248 - 7,182/sq. ft.","Rs. 7,459 - 8,453",-,-
180,Wayle Nagar,"Rs. 6,290 - 6,970/sq. ft.","Rs. 7,568 - 8,650","Rs. 13,355 - 15,025",-
181,Yogidham,"Rs. 5,738 - 6,502/sq. ft.","Rs. 8,024 - 9,027","Rs. 11,156 - 12,644",-
182,Agashi,"Rs. 4,122 - 4,462/sq. ft.",-,-,-
183,Ambawadi,"Rs. 3,910 - 4,718/sq. ft.",-,-,-
184,Bevarly Park,"Rs. 7,778 - 8,670/sq. ft.","Rs. 10,407 - 11,893","Rs. 14,083 - 17,048",-
185,Bhabola,"Rs. 5,610 - 6,418/sq. ft.",-,-,-
186,Bhayander (East),"Rs. 7,268 - 8,245/sq. ft.","Rs. 9,873 - 11,160","Rs. 13,600 - 16,320",-
187,Bhayander (West),"Rs. 6,800 - 8,628/sq. ft.","Rs. 8,479 - 11,305",-,-
188,Boisar,"Rs. 2,805 - 3,570/sq. ft.","Rs. 3,565 - 4,357","Rs. 4,590 - 5,738",-
189,Bolinj,"Rs. 4,122 - 4,888/sq. ft.","Rs. 5,579 - 6,509",-,-
190,Chakradhar Nagar,"Rs. 4,038 - 4,802/sq. ft.",-,-,-
191,Chandansar,"Rs. 3,570 - 4,122/sq. ft.",-,-,-
192,Chandan Shanti,"Rs. 8,245 - 9,265/sq. ft.","Rs. 11,407 - 12,962","Rs. 14,603 - 17,524",-
193,Chikhal Dongari,"Rs. 4,250 - 4,548/sq. ft.","Rs. 5,152 - 5,620","Rs. 6,706 - 7,377",-
194,Dongarpada,"Rs. 3,868 - 4,378/sq. ft.",-,-,-
195,Fatherwadi,"Rs. 4,080 - 5,312/sq. ft.",-,-,-
196,Geeta Nagar,"Rs. 7,225 - 8,202/sq. ft.","Rs. 9,350 - 11,050",-,-
197,Ghodev,"Rs. 7,098 - 8,372/sq. ft.",-,-,-
