,Locality,Buy Rate per Sqft,1 BHK,2 BHK,3 BHK
495,Naidu Colony,"Rs. 16,235 - 18,488/sq. ft.",-,-,-
496,Navghar,"Rs. 14,832 - 16,618/sq. ft.","Rs. 18,564 - 21,658",-,-
497,Neelam Nagar,"Rs. 13,855 - 16,405/sq. ft.","Rs. 18,938 - 21,779","Rs. 27,017 - 29,788",-
498,Nehru Nagar,"Rs. 13,345 - 14,875/sq. ft.","Rs. 20,492 - 23,491","Rs. 26,444 - 33,443",-
499,Nirmal Nagar,"Rs. 15,172 - 16,320/sq. ft.",-,"Rs. 29,554 - 32,666","Rs. 37,368 - 41,764"
500,Panchkutir Ganesh Nagar,"Rs. 27,328 - 30,940/sq. ft.",-,"Rs. 54,979 - 63,497","Rs. 72,590 - 80,920"
501,Pant Nagar,"Rs. 14,790 - 18,445/sq. ft.","Rs. 18,564 - 23,324","Rs. 36,152 - 45,006",-
502,Pestom Sagar Colony,"Rs. 11,220 - 15,300/sq. ft.","Rs. 22,338 - 24,572","Rs. 30,697 - 36,207",-
503,Police Colony,-,"Rs. 18,445 - 20,230",-,-
504,Powai,"Rs. 16,830 - 20,145/sq. ft.","Rs. 26,227 - 31,472","Rs. 42,093 - 49,521","Rs. 63,291 - 80,665"
505,Pratikhsha Nagar,"Rs. 14,960 - 17,170/sq. ft.","Rs. 18,296 - 20,081","Rs. 25,882 - 26,499",-
506,Premier Colony,-,"Rs. 23,588 - 24,225",-,-
507,Raheja Vihar,"Rs. 15,895 - 17,128/sq. ft.","Rs. 25,245 - 28,050","Rs. 39,151 - 44,149","Rs. 54,825 - 58,650"
508,Rajiv Gandhi Nagar,"Rs. 12,878 - 14,068/sq. ft.","Rs. 20,178 - 22,639","Rs. 26,104 - 29,631",-
509,Sangharsh Nagar,"Rs. 11,900 - 13,898/sq. ft.","Rs. 10,710 - 16,065","Rs. 34,362 - 39,391",-
510,Sarvodaya Nagar,"Rs. 12,112 - 13,940/sq. ft.",-,-,-
511,Sarvoday Parshwanath Nagar,"Rs. 14,918 - 16,830/sq. ft.","Rs. 16,244 - 20,034",-,-
512,Siddharth Nagar,"Rs. 13,642 - 15,470/sq. ft.",-,-,-
513,Sion (East),"Rs. 17,128 - 21,760/sq. ft.","Rs. 19,560 - 23,117",-,"Rs. 39,440 - 50,532"
514,Sion (West),"Rs. 22,482 - 27,200/sq. ft.","Rs. 25,048 - 30,246","Rs. 36,890 - 45,006",-
515,Tagore Nagar,"Rs. 11,135 - 12,240/sq. ft.","Rs. 15,321 - 19,699","Rs. 26,775 - 29,750",-
516,Tambe Nagar,"Rs. 14,450 - 16,915/sq. ft.","Rs. 18,799 - 21,272","Rs. 28,121 - 32,027","Rs. 36,184 - 38,378"
517,Tata Colony,-,"Rs. 16,541 - 19,377",-,-
518,Tembhipada,"Rs. 11,135 - 12,155/sq. ft.",-,-,-
519,Tilak Nagar,"Rs. 13,558 - 15,640/sq. ft.","Rs. 18,438 - 23,048","Rs. 31,470 - 36,075","Rs. 49,266 - 52,961"
520,Tunga Village,"Rs. 14,408 - 15,598/sq. ft.","Rs. 26,489 - 27,489","Rs. 29,546 - 34,246",-
521,Vaishali Nagar,"Rs. 14,365 - 17,000/sq. ft.","Rs. 19,635 - 21,038",-,-
522,Valmiki Nagar,-,"Rs. 19,377 - 21,267","Rs. 24,929 - 26,846",-
523,Vardhman Nagar,"Rs. 17,000 - 21,802/sq. ft.",-,-,-
524,Veena Nagar,-,"Rs. 16,150 - 17,850",-,-
525,Veena Nagar Phase-II,-,"Rs. 16,150 - 19,125",-,-
526,Vidyavihar,"Rs. 19,168 - 24,522/sq. ft.",-,-,-
527,Vidya Vihar West,"Rs. 11,432 - 13,515/sq. ft.","Rs. 22,952 - 25,446",-,-
528,Vikhroli (East),-,"Rs. 27,540 - 36,720","Rs. 46,750 - 55,250","Rs. 58,306 - 73,168"
529,Vikhroli (West),"Rs. 12,325 - 14,705/sq. ft.","Rs. 24,926 - 27,859","Rs. 36,338 - 39,568","Rs. 62,879 - 70,882"
530,Adaigaon,"Rs. 4,420 - 4,930/sq. ft.",-,-,-
531,Airoli,"Rs. 9,988 - 11,518/sq. ft.","Rs. 13,779 - 16,155","Rs. 22,253 - 26,227","Rs. 31,625 - 36,310"
532,Airoli Gaothan,-,"Rs. 8,500 - 9,775",-,-
533,Akurli,"Rs. 4,505 - 5,185/sq. ft.",-,-,-
534,Belapur,"Rs. 9,222 - 11,305/sq. ft.","Rs. 10,752 - 14,025","Rs. 22,100 - 28,050",-
535,Belpada,"Rs. 9,010 - 10,285/sq. ft.","Rs. 10,752 - 11,688","Rs. 17,634 - 20,701",-
536,Bonkode,"Rs. 6,758 - 9,775/sq. ft.","Rs. 10,608 - 11,934",-,-
537,Chipale,"Rs. 4,208 - 4,972/sq. ft.",-,-,-
538,Devad,"Rs. 4,335 - 4,888/sq. ft.","Rs. 5,015 - 6,520",-,-
539,Diva Gaothan,-,"Rs. 10,404 - 12,138",-,-
540,Dronagiri,"Rs. 4,292 - 4,845/sq. ft.","Rs. 3,924 - 4,414","Rs. 7,676 - 8,443",-
541,Ghansoli,"Rs. 9,902 - 11,815/sq. ft.","Rs. 12,112 - 14,535","Rs. 23,891 - 28,315","Rs. 35,414 - 39,209"
542,Ghot,-,"Rs. 4,114 - 6,171",-,-
543,Ghotkamp Koyana Vele,"Rs. 3,740 - 4,548/sq. ft.",-,-,-
544,Harigram,"Rs. 4,378 - 4,845/sq. ft.",-,-,-
545,Jeejamata Nagar,"Rs. 11,858 - 12,708/sq. ft.",-,"Rs. 28,636 - 32,455","Rs. 35,414 - 39,209"
546,Jijamata Nagar,"Rs. 10,710 - 11,858/sq. ft.",-,"Rs. 29,228 - 34,542","Rs. 38,143 - 46,619"
547,Jui Nagar,"Rs. 8,968 - 10,795/sq. ft.","Rs. 12,155 - 15,428","Rs. 17,927 - 20,266",-
548,Kalamboli,"Rs. 6,248 - 6,970/sq. ft.","Rs. 8,704 - 8,704","Rs. 11,393 - 13,145","Rs. 13,083 - 14,090"
549,Kamothe,"Rs. 6,545 - 7,225/sq. ft.","Rs. 8,395 - 9,383","Rs. 11,733 - 13,410","Rs. 15,827 - 19,218"
550,Karade Khurd,"Rs. 2,932 - 3,698/sq. ft.",-,-,-
551,Karanjade,"Rs. 5,100 - 5,738/sq. ft.","Rs. 4,896 - 5,440",-,-
552,Karave Nagar,"Rs. 12,495 - 16,065/sq. ft.",-,"Rs. 34,700 - 42,412",-
553,Kewale,"Rs. 3,995 - 4,420/sq. ft.",-,-,-
554,Khalapur,"Rs. 7,055 - 8,585/sq. ft.","Rs. 9,180 - 10,710","Rs. 17,523 - 19,367","Rs. 20,374 - 23,970"
555,Khanda Colony,"Rs. 6,885 - 8,202/sq. ft.","Rs. 7,847 - 8,828","Rs. 11,475 - 13,770",-
556,Khandeshwar,"Rs. 7,692 - 8,330/sq. ft.","Rs. 10,761 - 11,837","Rs. 13,750 - 14,609",-
557,Kharghar,"Rs. 7,820 - 9,222/sq. ft.","Rs. 9,545 - 12,056","Rs. 17,493 - 20,992","Rs. 24,650 - 28,348"
558,Kopara,"Rs. 7,608 - 8,755/sq. ft.","Rs. 11,444 - 13,005","Rs. 17,850 - 20,528","Rs. 21,038 - 28,050"
559,Koperkhairane,"Rs. 9,435 - 11,220/sq. ft.","Rs. 13,558 - 15,895","Rs. 21,802 - 25,840","Rs. 27,816 - 34,492"
560,Kutak Bandhan,"Rs. 6,800 - 7,480/sq. ft.",-,"Rs. 12,974 - 14,596",-
561,Navade,"Rs. 4,632 - 5,440/sq. ft.",-,-,-
562,Nere,"Rs. 3,698 - 4,038/sq. ft.",-,-,-
563,Nerul,"Rs. 11,815 - 14,152/sq. ft.","Rs. 11,688 - 14,492","Rs. 24,798 - 31,639","Rs. 39,709 - 48,676"
564,Nevali,"Rs. 4,675 - 4,972/sq. ft.",-,-,-
565,New Panvel,"Rs. 5,865 - 7,140/sq. ft.","Rs. 7,637 - 8,656","Rs. 9,945 - 12,240","Rs. 16,102 - 19,122"
566,New Panvel East,"Rs. 4,122 - 5,270/sq. ft.",-,"Rs. 7,378 - 14,018",-
567,New Sector-50 Nerul,"Rs. 10,242 - 11,475/sq. ft.","Rs. 13,923 - 16,409","Rs. 21,216 - 25,296","Rs. 32,130 - 36,890"
568,Old Panvel,"Rs. 5,950 - 7,182/sq. ft.","Rs. 7,561 - 8,065","Rs. 11,459 - 14,103","Rs. 18,771 - 25,395"
569,Owe Village,"Rs. 6,332 - 7,352/sq. ft.","Rs. 7,969 - 9,562","Rs. 14,212 - 15,988",-
570,Palaspa,"Rs. 4,420 - 5,780/sq. ft.",-,-,-
571,Palaspe Phata,"Rs. 4,845 - 6,630/sq. ft.",-,"Rs. 9,690 - 10,498",-
572,Palm Beach,"Rs. 15,512 - 18,148/sq. ft.","Rs. 15,762 - 16,592","Rs. 32,897 - 37,342","Rs. 44,798 - 55,998"
573,Panvel,"Rs. 5,950 - 7,012/sq. ft.","Rs. 7,599 - 9,119","Rs. 10,818 - 13,314","Rs. 14,597 - 19,088"
574,Petali,"Rs. 4,802 - 5,398/sq. ft.","Rs. 5,100 - 5,610","Rs. 8,160 - 9,792",-
575,Phase-1 Petali,"Rs. 4,802 - 5,228/sq. ft.","Rs. 5,100 - 5,610","Rs. 8,415 - 9,256",-
576,Rabale,-,-,"Rs. 17,595 - 24,480",-
577,Ranjanpada,"Rs. 7,522 - 8,118/sq. ft.","Rs. 7,701 - 8,728",-,-
578,Rasayani,"Rs. 3,060 - 3,528/sq. ft.",-,-,-
579,Roadpali,"Rs. 6,162 - 6,672/sq. ft.","Rs. 8,160 - 8,704","Rs. 11,691 - 13,490","Rs. 18,354 - 21,178"
580,Sai Nagar,"Rs. 5,482 - 5,908/sq. ft.",-,-,-
581,Sanpada,"Rs. 12,580 - 14,705/sq. ft.","Rs. 15,895 - 18,700","Rs. 29,750 - 34,000","Rs. 40,720 - 50,301"
582,Savoli,-,"Rs. 11,156 - 12,495",-,-
583,Seawoods,"Rs. 11,178 - 13,515/sq. ft.","Rs. 12,852 - 15,708","Rs. 26,775 - 34,808","Rs. 40,842 - 48,748"
584,Sector-1 Airoli,-,"Rs. 11,050 - 14,025",-,-
585,Sector-1 Khanda Colony,"Rs. 7,055 - 8,925/sq. ft.",-,"Rs. 11,475 - 13,005",-
586,Sector-1 New Panvel,-,"Rs. 6,712 - 9,588",-,-
587,Sector-1 Vashi,-,"Rs. 13,311 - 18,635","Rs. 20,016 - 22,777",-
588,Sector-2 Airoli,-,-,"Rs. 24,901 - 27,035",-
589,Sector-2 Ghansoli,-,"Rs. 11,156 - 12,495",-,-
590,Sector-2 Kopar Khairane,"Rs. 9,392 - 10,242/sq. ft.","Rs. 12,243 - 14,598","Rs. 20,188 - 25,032",-
591,Sector-2 Vashi,-,"Rs. 12,325 - 16,575",-,-
592,Sector-2A Kopar Khairane,"Rs. 9,350 - 10,370/sq. ft.",-,"Rs. 22,100 - 24,650",-
593,Sector-3 Airoli,-,"Rs. 16,415 - 17,864",-,-
594,Sector-3 Belpada,"Rs. 9,478 - 10,412/sq. ft.","Rs. 10,557 - 11,475",-,-
595,Sector-3 Ghansoli,"Rs. 9,860 - 10,838/sq. ft.","Rs. 13,426 - 15,912","Rs. 19,125 - 22,950",-
596,Sector-3 Kopar Khairane,"Rs. 8,542 - 11,135/sq. ft.",-,"Rs. 18,279 - 20,664",-
597,Sector-3 New Panvel,"Rs. 7,012 - 8,372/sq. ft.","Rs. 7,914 - 9,044","Rs. 11,305 - 12,920",-
598,Sector-3 Ulwe,"Rs. 6,290 - 6,970/sq. ft.",-,"Rs. 7,375 - 9,013",-
599,Sector-4 Airoli,-,"Rs. 14,322 - 15,803",-,-
600,Sector-4 Kopar Khairane,-,"Rs. 12,389 - 14,371",-,-
601,Sector-4 Nerul,"Rs. 15,428 - 17,892/sq. ft.",-,"Rs. 42,238 - 50,480","Rs. 59,670 - 68,850"
602,Sector-4 New Panvel,"Rs. 6,630 - 7,438/sq. ft.","Rs. 6,962 - 9,448","Rs. 11,475 - 13,005",-
603,Sector-4 Sanpada,"Rs. 11,050 - 12,665/sq. ft.",-,"Rs. 23,664 - 31,824",-
604,Sector-4 Vashi,"Rs. 14,535 - 15,342/sq. ft.",-,-,-
605,Sector-4A Koparkhairane,"Rs. 9,308 - 10,838/sq. ft.","Rs. 11,220 - 13,090","Rs. 21,614 - 24,939",-
606,Sector-5 Airoli,-,"Rs. 12,325 - 14,875","Rs. 17,680 - 22,440",-
607,Sector-5 Kamothe,"Rs. 6,290 - 6,672/sq. ft.",-,-,-
608,Sector-5 Kharghar,"Rs. 8,628 - 9,775/sq. ft.","Rs. 13,380 - 14,371","Rs. 18,350 - 25,340","Rs. 29,622 - 31,992"
609,Sector-5 Kopar Khairane,"Rs. 8,882 - 10,752/sq. ft.","Rs. 13,039 - 14,544","Rs. 20,400 - 22,950","Rs. 23,205 - 25,415"
610,Sector-5 New Panvel East,"Rs. 7,565 - 8,798/sq. ft.","Rs. 8,738 - 10,049","Rs. 12,282 - 15,172",-
611,Sector-6 Airoli,"Rs. 10,668 - 11,432/sq. ft.","Rs. 15,680 - 18,056","Rs. 22,481 - 27,132",-
612,Sector-6 Ghansoli,"Rs. 8,968 - 10,072/sq. ft.","Rs. 12,967 - 14,408","Rs. 20,177 - 24,058","Rs. 35,848 - 45,625"
613,Sector-6 Kharghar,"Rs. 10,412 - 12,240/sq. ft.","Rs. 12,559 - 13,061","Rs. 20,400 - 22,100","Rs. 27,683 - 31,143"
614,Sector-6 Kopar Khairane,"Rs. 9,265 - 9,988/sq. ft.","Rs. 12,622 - 15,895","Rs. 20,188 - 24,225",-
615,Sector-6 Nerul,-,"Rs. 6,545 - 8,415",-,"Rs. 37,699 - 44,768"
616,Sector-6 New Panvel,"Rs. 6,078 - 6,715/sq. ft.",-,-,-
617,Sector-6A Kamothe,"Rs. 6,630 - 7,268/sq. ft.",-,"Rs. 14,421 - 15,269",-
618,Sector-7 Ghansoli,"Rs. 9,478 - 10,752/sq. ft.","Rs. 14,612 - 17,047","Rs. 21,229 - 24,625",-
619,Sector-7 Kamothe,"Rs. 6,885 - 7,480/sq. ft.",-,-,-
620,Sector-7 Khanda Colony,"Rs. 6,630 - 7,310/sq. ft.",-,-,-
621,Sector-7 Kopar Khairane,"Rs. 9,052 - 10,540/sq. ft.","Rs. 14,050 - 15,988","Rs. 17,746 - 18,429",-
622,Sector-8 Ghansoli,"Rs. 11,178 - 12,198/sq. ft.","Rs. 17,748 - 19,227","Rs. 24,684 - 27,975","Rs. 34,510 - 38,080"
623,Sector-8 Kamothe,"Rs. 6,418 - 7,098/sq. ft.",-,-,-
624,Sector-8 Kharghar,"Rs. 8,500 - 9,478/sq. ft.","Rs. 12,006 - 13,447","Rs. 17,279 - 18,102","Rs. 22,352 - 25,881"
625,Sector-8 Kopar Khairane,"Rs. 9,138 - 11,135/sq. ft.","Rs. 14,174 - 15,640","Rs. 21,682 - 25,554",-
626,Sector-8 Sanpada,"Rs. 11,178 - 13,218/sq. ft.","Rs. 14,446 - 16,197",-,-
627,Sector-8 Ulwe,"Rs. 6,800 - 7,862/sq. ft.","Rs. 4,888 - 5,376","Rs. 9,350 - 11,050","Rs. 15,658 - 20,476"
628,Sector-8A Airoli,"Rs. 10,072 - 11,602/sq. ft.","Rs. 14,322 - 16,297","Rs. 22,185 - 25,245",-
629,Sector-9 Ghansoli,"Rs. 10,158 - 11,730/sq. ft.","Rs. 10,343 - 12,730","Rs. 25,288 - 33,380",-
630,Sector-9 Kamothe,"Rs. 6,120 - 6,715/sq. ft.","Rs. 7,076 - 8,020","Rs. 9,841 - 11,247",-
631,Sector-9 Khanda Colony,"Rs. 6,630 - 7,268/sq. ft.","Rs. 7,442 - 7,880",-,-
632,Sector-9 New Panvel,"Rs. 6,418 - 6,928/sq. ft.",-,"Rs. 10,952 - 11,682",-
633,Sector-9 Sanpada,"Rs. 15,300 - 16,320/sq. ft.","Rs. 19,724 - 21,747","Rs. 29,070 - 30,600","Rs. 34,123 - 39,657"
634,Sector-9 Ulwe,"Rs. 7,182 - 7,990/sq. ft.","Rs. 5,507 - 6,008","Rs. 8,526 - 10,231","Rs. 13,370 - 15,802"
635,Sector-9A Vashi,-,"Rs. 16,320 - 19,380","Rs. 22,312 - 25,288",-
636,Sector-10 Kalamboli,"Rs. 5,950 - 6,758/sq. ft.",-,-,-
637,Sector-10 Nerul,"Rs. 9,095 - 10,795/sq. ft.",-,"Rs. 21,573 - 24,769",-
638,Sector-10 New Panvel,"Rs. 6,162 - 6,545/sq. ft.","Rs. 7,670 - 8,150","Rs. 10,582 - 14,110",-
639,Sector-10 Vashi,-,-,"Rs. 22,610 - 27,455",-
640,Sector-10/B Ulwe,"Rs. 6,502 - 8,245/sq. ft.",-,"Rs. 9,378 - 11,083",-
641,Sector-10A Airoli,"Rs. 13,685 - 14,535/sq. ft.",-,"Rs. 30,098 - 34,658","Rs. 34,527 - 37,980"
642,Sector-10A Vashi,-,-,"Rs. 18,788 - 26,617",-
643,Sector-11 Ghansoli,"Rs. 11,432 - 12,410/sq. ft.",-,"Rs. 29,920 - 33,660","Rs. 38,250 - 40,800"
644,Sector-11 Khanda Colony,"Rs. 8,628 - 9,562/sq. ft.",-,-,-
645,Sector-11 New Panvel,-,-,"Rs. 9,945 - 11,475",-
646,Sector-11 Sanpada,"Rs. 13,048 - 14,238/sq. ft.",-,"Rs. 31,620 - 37,740",-
647,Sector-11 Taloja,"Rs. 4,420 - 4,972/sq. ft.","Rs. 5,015 - 7,021",-,-
648,Sector-12 Kamothe,"Rs. 6,290 - 6,800/sq. ft.","Rs. 7,948 - 9,350",-,-
649,Sector-12 Kopar Khairane,"Rs. 8,202 - 10,455/sq. ft.","Rs. 12,111 - 14,906","Rs. 19,890 - 22,950",-
650,Sector-12 New Panvel,"Rs. 6,842 - 7,735/sq. ft.",-,"Rs. 10,412 - 12,644",-
651,Sector-13 Kharghar,"Rs. 7,480 - 8,798/sq. ft.","Rs. 8,966 - 11,456","Rs. 13,600 - 16,150",-
652,Sector-13 Kopar Khairane,"Rs. 10,880 - 13,515/sq. ft.",-,"Rs. 22,121 - 25,661",-
653,Sector-13 Nerul,"Rs. 13,812 - 14,620/sq. ft.",-,-,-
654,Sector-14 Airoli,-,-,-,"Rs. 25,415 - 30,940"
655,Sector-14 Koparkhairane,"Rs. 10,412 - 12,198/sq. ft.","Rs. 14,492 - 18,232","Rs. 24,157 - 29,155","Rs. 34,425 - 40,162"
656,Sector-14 Nerul,"Rs. 19,082 - 23,758/sq. ft.",-,"Rs. 34,808 - 36,592",-
657,Sector-14 Sanpada,"Rs. 12,622 - 13,515/sq. ft.","Rs. 18,476 - 19,448",-,"Rs. 51,404 - 63,941"
658,Sector-14 Taloja,"Rs. 4,930 - 5,695/sq. ft.",-,-,-
659,Sector-15 Ghansoli,"Rs. 9,690 - 10,412/sq. ft.","Rs. 12,856 - 14,913","Rs. 21,165 - 23,705","Rs. 33,475 - 38,092"
660,Sector-15 New Panvel,"Rs. 7,395 - 7,862/sq. ft.",-,"Rs. 10,710 - 13,005",-
661,Sector-15 Sanpada,"Rs. 11,475 - 13,090/sq. ft.","Rs. 15,895 - 19,168","Rs. 21,760 - 27,200",-
662,Sector-15A New Panvel,-,-,"Rs. 11,475 - 16,065",-
663,Sector-16 Airoli,-,"Rs. 14,280 - 16,830","Rs. 13,812 - 16,575",-
664,Sector-16 Kharghar,"Rs. 7,905 - 8,925/sq. ft.",-,-,-
665,Sector-16 Koparkhairane,"Rs. 8,882 - 9,902/sq. ft.","Rs. 13,558 - 18,232","Rs. 19,890 - 23,715",-
666,Sector-16 New Panvel,"Rs. 6,715 - 7,310/sq. ft.","Rs. 7,650 - 9,180","Rs. 11,008 - 11,794",-
667,Sector-16 Sanpada,"Rs. 14,195 - 14,918/sq. ft.","Rs. 17,765 - 21,972","Rs. 30,600 - 34,850","Rs. 38,102 - 40,560"
668,Sector-16 Taloja,"Rs. 4,802 - 5,525/sq. ft.","Rs. 4,802 - 5,283",-,-
669,Sector-16 Ulwe,"Rs. 6,248 - 7,310/sq. ft.","Rs. 5,176 - 5,694","Rs. 7,933 - 10,577","Rs. 12,894 - 15,473"
670,Sector-16A Sanpada,"Rs. 13,898 - 16,108/sq. ft.",-,"Rs. 28,768 - 32,878","Rs. 54,698 - 58,905"
671,Sector-17 Kalamboli,"Rs. 6,758 - 7,778/sq. ft.",-,-,-
672,Sector-17 Kamothe,"Rs. 6,672 - 7,395/sq. ft.","Rs. 8,242 - 9,272","Rs. 10,652 - 13,110",-
673,Sector-17 Khanda Colony,"Rs. 7,352 - 7,990/sq. ft.",-,-,-
674,Sector-17 Kopar Khairane,"Rs. 8,670 - 10,030/sq. ft.","Rs. 14,889 - 16,942","Rs. 20,222 - 27,999",-
675,Sector-17 Sanpada,"Rs. 13,472 - 15,130/sq. ft.",-,"Rs. 34,808 - 39,270","Rs. 43,350 - 53,550"
676,Sector-18 Kopar Khairane,"Rs. 8,075 - 9,520/sq. ft.",-,-,-
677,Sector-18 Sanpada,"Rs. 17,552 - 20,102/sq. ft.",-,"Rs. 36,001 - 39,693","Rs. 47,491 - 55,406"
678,Sector-18 Ulwe,"Rs. 6,885 - 7,480/sq. ft.","Rs. 5,865 - 6,842","Rs. 9,088 - 9,914","Rs. 12,248 - 13,362"
679,Sector-18A Nerul,"Rs. 13,728 - 16,958/sq. ft.",-,"Rs. 33,558 - 41,228","Rs. 45,135 - 55,165"
680,Sector-19 Airoli,"Rs. 10,625 - 12,240/sq. ft.","Rs. 14,545 - 16,891","Rs. 24,225 - 27,455","Rs. 31,884 - 34,969"
681,Sector-19 Belapur,"Rs. 7,352 - 8,500/sq. ft.","Rs. 9,724 - 11,934",-,-
682,Sector-19 Koper Khairane,"Rs. 7,735 - 8,500/sq. ft.","Rs. 11,475 - 12,750","Rs. 15,652 - 19,209",-
683,Sector-19 New Panvel,-,-,"Rs. 11,475 - 13,005",-
684,Sector-19 Taloja,"Rs. 5,568 - 6,332/sq. ft.","Rs. 4,208 - 4,675",-,-
685,Sector-19A Kopar Khairane,"Rs. 6,928 - 8,712/sq. ft.","Rs. 10,016 - 11,686","Rs. 18,232 - 23,141",-
686,Sector-20 Koparkhairane,"Rs. 10,285 - 11,305/sq. ft.","Rs. 14,124 - 16,560","Rs. 22,100 - 26,350","Rs. 34,510 - 36,890"
687,Sector-20 Nerul,"Rs. 8,840 - 10,285/sq. ft.","Rs. 10,752 - 13,558","Rs. 19,380 - 22,610","Rs. 25,936 - 37,052"
688,Sector-20 Roadpali,"Rs. 6,375 - 7,098/sq. ft.",-,"Rs. 11,680 - 14,375",-
689,Sector-20 Taloja,"Rs. 4,292 - 4,760/sq. ft.",-,-,-
690,Sector-20B Airoli,"Rs. 9,775 - 10,965/sq. ft.","Rs. 14,025 - 17,765","Rs. 24,822 - 29,626","Rs. 29,580 - 34,510"
691,Sector-22 Kopar Khairane,"Rs. 9,350 - 11,135/sq. ft.","Rs. 12,577 - 13,042",-,"Rs. 21,505 - 25,245"
692,Sector-23 Juinagar,"Rs. 8,500 - 9,690/sq. ft.",-,-,-
693,Sector-23 Kharghar,"Rs. 10,115 - 11,178/sq. ft.",-,-,-
694,Sector-23 Taloja,"Rs. 5,100 - 5,992/sq. ft.","Rs. 4,974 - 4,974","Rs. 7,574 - 8,415",-
695,Sector-24 Kamothe,"Rs. 6,545 - 7,225/sq. ft.","Rs. 7,962 - 9,835",-,-
696,Sector-24 Taloja,"Rs. 5,950 - 6,248/sq. ft.",-,"Rs. 7,137 - 7,930",-
697,Sector-25 Kamothe,"Rs. 6,842 - 7,862/sq. ft.","Rs. 8,622 - 10,778","Rs. 11,658 - 13,451",-
698,Sector-25 Khandeshhwar,"Rs. 8,032 - 8,458/sq. ft.","Rs. 11,299 - 11,837","Rs. 14,609 - 14,609",-
699,Sector-26 Taloja,"Rs. 4,335 - 4,802/sq. ft.","Rs. 4,208 - 4,675",-,-
700,Sector-27 Kharghar,"Rs. 8,075 - 9,988/sq. ft.","Rs. 7,650 - 8,670",-,"Rs. 18,210 - 25,039"
701,Sector-27 Nerul,"Rs. 11,900 - 13,005/sq. ft.","Rs. 15,428 - 16,830","Rs. 20,698 - 25,665","Rs. 36,890 - 40,460"
702,Sector-28 Nerul,"Rs. 13,685 - 16,150/sq. ft.","Rs. 11,751 - 12,691","Rs. 26,877 - 34,940","Rs. 48,868 - 52,941"
703,Sector-29 Belapur,-,"Rs. 9,605 - 10,566",-,-
704,Sector-29C Airoli,"Rs. 8,755 - 11,135/sq. ft.","Rs. 12,708 - 16,129","Rs. 23,434 - 25,778",-
705,Sector-30 Belapur,"Rs. 10,668 - 11,475/sq. ft.",-,"Rs. 23,845 - 29,144","Rs. 33,575 - 42,976"
706,Sector-30 Ghansoli,"Rs. 7,225 - 12,070/sq. ft.","Rs. 15,994 - 18,493","Rs. 25,612 - 27,265",-
707,Sector-30 Vashi,-,"Rs. 16,690 - 18,713","Rs. 24,514 - 27,140",-
708,Sector-31 Kamothe,"Rs. 6,248 - 7,225/sq. ft.",-,"Rs. 12,186 - 13,926",-
709,Sector-34 Kharghar,"Rs. 6,332 - 7,055/sq. ft.",-,"Rs. 11,888 - 13,586",-
710,Sector-34A Kharghar,"Rs. 9,308 - 10,668/sq. ft.",-,"Rs. 22,460 - 24,332","Rs. 29,284 - 33,278"
711,Sector-34B Kharghar,"Rs. 6,970 - 8,712/sq. ft.","Rs. 7,650 - 8,160","Rs. 14,214 - 17,372",-
712,Sector-35 Kamothe,"Rs. 6,800 - 7,268/sq. ft.","Rs. 8,670 - 9,180","Rs. 11,591 - 14,074",-
713,Sector-35D Kharghar,"Rs. 7,480 - 8,500/sq. ft.","Rs. 9,364 - 10,404","Rs. 15,722 - 19,421","Rs. 23,378 - 24,677"
714,Sector-35E Kharghar,"Rs. 7,522 - 8,798/sq. ft.","Rs. 9,180 - 10,710","Rs. 17,523 - 19,367","Rs. 20,374 - 23,970"
715,Sector-35G Kharghar,"Rs. 8,288 - 9,052/sq. ft.","Rs. 11,847 - 13,393","Rs. 16,405 - 18,046","Rs. 22,287 - 24,633"
716,Sector-37 Taloja,"Rs. 7,438 - 8,288/sq. ft.",-,"Rs. 13,207 - 14,761",-
717,Sector-38 Seawoods,"Rs. 11,348 - 12,325/sq. ft.","Rs. 14,913 - 16,970","Rs. 28,900 - 32,300","Rs. 33,810 - 36,979"
718,Sector-42A Seawoods,"Rs. 9,988 - 12,368/sq. ft.","Rs. 13,558 - 15,895","Rs. 23,205 - 27,349",-
719,Sector-44A Seawoods,"Rs. 9,818 - 12,580/sq. ft.","Rs. 12,376 - 14,280","Rs. 20,796 - 24,795",-
720,Sector-46 Seawoods,"Rs. 13,388 - 15,938/sq. ft.","Rs. 11,688 - 14,960","Rs. 31,238 - 37,485","Rs. 39,525 - 44,625"
721,Sector-48 Seawoods,"Rs. 10,582 - 13,048/sq. ft.","Rs. 11,581 - 14,361","Rs. 19,444 - 24,888",-
722,Sector-50 Seawoods,"Rs. 10,625 - 12,452/sq. ft.","Rs. 13,852 - 16,820","Rs. 23,800 - 28,900","Rs. 34,510 - 40,672"
723,Sector-58 Seawoods,"Rs. 15,512 - 17,722/sq. ft.",-,"Rs. 37,740 - 43,401","Rs. 50,320 - 61,200"
724,Sector-58A Seawoods,-,-,"Rs. 32,130 - 38,378","Rs. 50,646 - 56,977"
725,Sector 1 Ghansoli,-,"Rs. 10,285 - 12,155",-,-
726,Sector 1 Kopar Khairane,"Rs. 9,775 - 11,348/sq. ft.","Rs. 13,637 - 17,534","Rs. 21,459 - 26,411",-
