,Locality,Region,Type,latitude,longitude,price
113,Kolshet Road,Thane,2 BHK 952 Sq-ft Flat/Apartment for Rent in Everest World Kolshet Road,19.2307408,72.9842745,"23,000"
114,Vasant Vihar - Thane West,Thane,2 BHK 1075 Sq-ft Flat/Apartment for Rent in Mahavir Millennium Vasant Vihar,19.2242674429634,72.9623952505689,"28,000"
115,Thane West,Thane,3 BHK 1200 Sq-ft Flat/Apartment for Rent in Runwal Garden City Balkum,19.2231290047266,72.98728,"28,000"
116,Manpada,Thane,2 BHK Flat 1000 sqft,19.2308277,72.9741067,"28,000"
117,Thane West,Thane,3 BHK Flat 1690 sqft,19.225129,72.9772647,"43,000"
118,Balkum Pada,Thane,1 BHK 420 Sq-ft Flat/Apartment for Rent in Runwal Eirene Balkum village,19.22331378,72.98849622,"18,000"
119,Thane West,Thane,3 BHK 1200 Sq-ft Flat/Apartment for Rent in Neelkanth Palms Thane West,19.220528921958,72.9760541808747,"38,500"
120,Majiwada,Thane,2 BHK 1050 Sq-ft Flat/Apartment for Rent in Lodha Luxuria Priva Majiwada,19.214872,72.987236,"30,000"
121,Pokharan Road No. 2,Thane,3 BHK 1300 Sq-ft Flat/Apartment for Rent in Project Hiranandani Meadows Pokharan Road No. 2,19.227022,72.971892,"38,000"
122,Kolshet Road,Thane,2 BHK 900 Sq-ft Flat/Apartment for Rent in Lodha Amara Kolshet Road,19.233686,72.988434,"23,000"
123,Kolshet Road,Thane,2 BHK 1000 Sq-ft Flat/Apartment for Rent in Lodha Amara Kolshet Road,19.233686,72.988434,"23,000"
124,Manpada,Thane,3 BHK 1200 Sq-ft Flat/Apartment for Rent in Shree Satya Shankar Residency Manpada,19.244709,72.971876,"36,000"
125,Kolshet Road,Thane,3 BHK 1503 Sq-ft Flat/Apartment for Rent in Elite Platina 20 Kolshet Road,19.2321621,72.9873688,"33,000"
126,Kolshet Road,Thane,3 BHK 1503 Sq-ft Flat/Apartment for Rent in Elite Platina 20 Kolshet Road,19.2321621,72.9873688,"34,000"
127,Kolshet Road,Thane,3 BHK 1330 Sq-ft Flat/Apartment for Rent in Lodha Amara Kolshet Road,19.233686,72.988434,"31,000"
128,Manpada,Thane,1 BHK 850 Sq-ft Flat/Apartment for Rent in Neptune Solitaire Tower Manpada,19.233315,72.975822,"18,000"
129,Majiwada,Thane,2 BHK 1089 Sq-ft Flat/Apartment for Rent in Sheth Avalon Majiwada,19.209881,72.97259,"30,500"
130,Manpada,Thane,2 BHK 737 Sq-ft Flat/Apartment for Rent in Neelkanth Greens Manpada,19.243536,72.97065,"26,000"
131,Naupada,Thane,2 BHK Flat 1000 sqft,19.183834075927734,72.9601821899414,"30,000"
132,Thane West,Thane,3 BHK 1390 Sq-ft Flat/Apartment for Rent in Wadhwa Elite Thane West,19.232751,72.9843211,"42,000"
133,Thane West,Thane,1 BHK 600 Sq-ft Flat/Apartment for Rent in Lodha Paradise Thane West,19.2128973,72.9832952,"19,000"
134,Majiwada,Thane,3 BHK 1120 Sq-ft Flat/Apartment for Rent in Rustomjee Athena Majiwada,19.211868,72.986213,"27,000"
135,Dhokali,Thane,3 BHK 1245 Sq-ft Flat/Apartment for Rent in Saptashree Heights Dhokali,19.2283863120867,72.9794508757876,"29,000"
136,Manpada,Thane,2 BHK 1224 Sq-ft Flat/Apartment for Rent in Kalpataru Hills Phase 2 Manpada,19.23664,72.9694583333333,"26,000"
137,Majiwada,Thane,3 BHK 1650 Sq-ft Flat/Apartment for Rent in Rustomjee Azziano Majiwada,19.206731,72.98791,"35,000"
138,Majiwada,Thane,2 BHK Flat 1100 sqft,19.215652,72.991208,"27,000"
139,Thane West,Thane,1 BHK 600 Sq-ft Flat/Apartment for Rent in Project Hiranandani Estate g b road,19.255596,72.982265,"22,000"
140,Thane West,Thane,1 BHK Flat 575 sqft,19.188169479370117,72.97366333007812,"23,500"
